id,type,item name,price,quantity,vendor
2842034,chemicals,Sulfuric Acid - 6.4 M,13.39,109,Newman Niceties
2842035,chemicals,Potassium Chloride - 9.2 M,14.3,5,Van Rossum Recycling
2842036,chemicals,Potassium Chloride - 12.0 M,23.06,99,K+R Industries
2842037,chemicals,Potassium Chloride - 8.9 M,1.9,304,Van Rossum Recycling
2842038,chemicals,Acetic Acid - 0.4 M,4.72,205,Newman Niceties
2842039,chemicals,Potassium Chloride - 11.9 M,4.0,293,K+R Industries
2840001,electronics,5-gate XNOR Gate,19.48,78,Van Rossum Recycling
2842040,chemicals,Sulfuric Acid - 2.9 M,11.48,332,Gosling Goods
2842041,chemicals,Hydrochloric Acid - 2.2 M,13.27,244,Van Rossum Recycling
2840002,electronics,6-gate AND Gate,19.16,350,Van Rossum Recycling
2842042,chemicals,Potassium Chloride - 12.8 M,12.85,80,Van Rossum Recycling
2842043,chemicals,Acetic Acid - 10.0 M,19.73,304,Hejlsberg Industries
2842044,chemicals,Sulfuric Acid - 5.8 M,24.43,210,Hejlsberg Industries
2842045,chemicals,Sulfurous Acid - 13.0 M,21.62,335,Hejlsberg Industries
2842046,chemicals,Potassium Chloride - 7.8 M,21.7,214,Gosling Goods
2842047,chemicals,Sulfuric Acid - 0.6 M,38.79,248,Van Rossum Recycling
2842048,chemicals,Sodium Hydroxide - 8.2 M,7.48,370,Hejlsberg Industries
2842049,chemicals,Sulfurous Acid - 9.5 M,29.6,147,Stroustrup Manufacturing
2842050,chemicals,Sulfurous Acid - 3.5 M,2.69,284,Stroustrup Manufacturing
2842051,chemicals,Hydrochloric Acid - 0.4 M,23.92,289,Van Rossum Recycling
2842052,chemicals,Acetic Acid - 1.4 M,10.99,150,Hejlsberg Industries
2842053,chemicals,Acetic Acid - 3.7 M,23.09,337,K+R Industries
2842054,chemicals,Sulfuric Acid - 7.0 M,17.39,289,Hejlsberg Industries
2842055,chemicals,Sulfurous Acid - 8.8 M,6.28,133,Stroustrup Manufacturing
2842056,chemicals,Sulfurous Acid - 1.7 M,7.59,365,Gosling Goods
2842057,chemicals,Sulfuric Acid - 10.5 M,34.34,151,Gosling Goods
2842058,chemicals,Acetic Acid - 1.2 M,11.45,345,Hejlsberg Industries
2842059,chemicals,Hydrochloric Acid - 14.4 M,26.88,323,Stroustrup Manufacturing
2842060,chemicals,Hydrochloric Acid - 6.6 M,37.02,371,Gosling Goods
2842061,chemicals,Sodium Hydroxide - 0.4 M,23.98,121,Newman Niceties
2842062,chemicals,Potassium Chloride - 8.1 M,15.71,156,Stroustrup Manufacturing
2842063,chemicals,Sulfurous Acid - 4.9 M,16.55,169,Newman Niceties
2842064,chemicals,Acetic Acid - 7.0 M,17.23,355,K+R Industries
2842065,chemicals,Sodium Hydroxide - 13.0 M,32.91,106,Van Rossum Recycling
2842066,chemicals,Sodium Hydroxide - 13.4 M,24.1,259,K+R Industries
2842067,chemicals,Sodium Hydroxide - 9.8 M,8.28,347,Gosling Goods
2842068,chemicals,Acetic Acid - 10.7 M,9.9,185,Hejlsberg Industries
2842069,chemicals,Sulfuric Acid - 6.0 M,21.99,336,K+R Industries
2842070,chemicals,Sulfurous Acid - 6.9 M,29.2,23,Hejlsberg Industries
2842071,chemicals,Sulfurous Acid - 0.8 M,29.0,204,Stroustrup Manufacturing
2842072,chemicals,Sulfurous Acid - 6.2 M,27.4,112,Hejlsberg Industries
2842073,chemicals,Acetic Acid - 14.0 M,36.76,392,Stroustrup Manufacturing
2842074,chemicals,Acetic Acid - 14.2 M,33.11,297,Hejlsberg Industries
2842075,chemicals,Sodium Hydroxide - 11.8 M,26.03,283,Stroustrup Manufacturing
2842076,chemicals,Sodium Hydroxide - 10.4 M,31.19,82,K+R Industries
2842077,chemicals,Sodium Hydroxide - 14.1 M,5.25,102,Van Rossum Recycling
2842078,chemicals,Sulfurous Acid - 5.6 M,22.44,248,Gosling Goods
2842079,chemicals,Sulfurous Acid - 3.6 M,34.81,210,Gosling Goods
2842080,chemicals,Potassium Chloride - 5.7 M,34.09,47,Gosling Goods
2842081,chemicals,Potassium Chloride - 12.3 M,22.61,320,Stroustrup Manufacturing
2842082,chemicals,Sulfuric Acid - 1.1 M,33.26,359,Newman Niceties
2842083,chemicals,Sulfuric Acid - 14.4 M,2.09,151,Stroustrup Manufacturing
2842084,chemicals,Acetic Acid - 2.7 M,26.34,362,Stroustrup Manufacturing
2842085,chemicals,Sulfuric Acid - 2.5 M,0.72,48,Gosling Goods
2842086,chemicals,Sulfurous Acid - 2.3 M,13.79,155,K+R Industries
2842087,chemicals,Sulfurous Acid - 13.2 M,31.23,398,Newman Niceties
2842088,chemicals,Sulfuric Acid - 10.1 M,14.83,90,K+R Industries
2842089,chemicals,Sulfuric Acid - 7.1 M,9.66,252,Stroustrup Manufacturing
2840003,electronics,5-gate NAND Gate,20.09,70,Hejlsberg Industries
2842090,chemicals,Sodium Hydroxide - 13.0 M,4.55,99,Gosling Goods
2842091,chemicals,Acetic Acid - 13.1 M,1.12,340,Van Rossum Recycling
2842092,chemicals,Sulfurous Acid - 10.8 M,12.16,335,Hejlsberg Industries
2842093,chemicals,Hydrochloric Acid - 12.0 M,39.82,133,Van Rossum Recycling
2842094,chemicals,Sulfuric Acid - 11.3 M,26.35,180,K+R Industries
2840004,electronics,2-gate NOR Gate,19.22,209,Van Rossum Recycling
2842095,chemicals,Sulfuric Acid - 12.0 M,30.33,386,Stroustrup Manufacturing
2842096,chemicals,Sulfurous Acid - 4.4 M,3.8,262,Hejlsberg Industries
2842097,chemicals,Sodium Hydroxide - 3.8 M,30.05,277,Hejlsberg Industries
2842098,chemicals,Sulfuric Acid - 11.4 M,22.36,180,K+R Industries
2842099,chemicals,Acetic Acid - 2.2 M,25.17,267,Van Rossum Recycling
2842100,chemicals,Sulfuric Acid - 7.1 M,13.73,78,Hejlsberg Industries
2840005,electronics,5-gate NAND Gate,30.52,81,Stroustrup Manufacturing
2842101,chemicals,Sulfurous Acid - 11.9 M,22.15,40,Hejlsberg Industries
2844000,tools,Screwdriver - Phillips,13.07,319,Van Rossum Recycling
2842102,chemicals,Acetic Acid - 10.4 M,37.82,382,Gosling Goods
2842103,chemicals,Potassium Chloride - 2.6 M,3.16,264,Stroustrup Manufacturing
2842104,chemicals,Sulfuric Acid - 0.3 M,15.54,19,Gosling Goods
2842105,chemicals,Potassium Chloride - 0.5 M,26.27,254,K+R Industries
2842106,chemicals,Sodium Hydroxide - 6.1 M,39.24,57,K+R Industries
2842107,chemicals,Hydrochloric Acid - 7.3 M,11.54,339,K+R Industries
2842108,chemicals,Sodium Hydroxide - 5.0 M,38.2,60,Van Rossum Recycling
2842109,chemicals,Sulfuric Acid - 8.6 M,27.92,335,Hejlsberg Industries
2842110,chemicals,Hydrochloric Acid - 7.6 M,26.42,61,Hejlsberg Industries
2842111,chemicals,Acetic Acid - 4.5 M,10.65,230,Hejlsberg Industries
2842112,chemicals,Potassium Chloride - 10.5 M,16.65,36,K+R Industries
2842113,chemicals,Sulfurous Acid - 3.2 M,11.56,57,Van Rossum Recycling
2842114,chemicals,Sodium Hydroxide - 10.6 M,15.68,47,Van Rossum Recycling
2842115,chemicals,Sulfurous Acid - 6.3 M,12.58,104,Stroustrup Manufacturing
2842116,chemicals,Acetic Acid - 3.8 M,2.08,42,Newman Niceties
2842117,chemicals,Hydrochloric Acid - 2.7 M,39.85,140,Van Rossum Recycling
2842118,chemicals,Potassium Chloride - 14.0 M,35.24,210,K+R Industries
2842119,chemicals,Potassium Chloride - 8.6 M,1.51,147,Stroustrup Manufacturing
2842120,chemicals,Sulfuric Acid - 8.7 M,26.08,214,Newman Niceties
2842121,chemicals,Potassium Chloride - 6.8 M,5.73,285,Newman Niceties
2842122,chemicals,Acetic Acid - 5.9 M,16.76,76,Newman Niceties
2842123,chemicals,Sodium Hydroxide - 9.7 M,14.26,393,K+R Industries
2842124,chemicals,Sulfurous Acid - 9.4 M,12.02,242,Newman Niceties
2842125,chemicals,Hydrochloric Acid - 14.2 M,18.56,363,Hejlsberg Industries
2842126,chemicals,Sodium Hydroxide - 2.7 M,3.58,353,Newman Niceties
2842127,chemicals,Sodium Hydroxide - 10.5 M,2.65,328,Stroustrup Manufacturing
2842128,chemicals,Acetic Acid - 2.1 M,36.17,1,K+R Industries
2842129,chemicals,Hydrochloric Acid - 1.7 M,39.32,265,Newman Niceties
2842130,chemicals,Sodium Hydroxide - 1.1 M,2.91,358,Hejlsberg Industries
2842131,chemicals,Hydrochloric Acid - 13.3 M,28.88,375,K+R Industries
2842132,chemicals,Potassium Chloride - 4.9 M,22.61,389,Hejlsberg Industries
2842133,chemicals,Sulfurous Acid - 10.9 M,36.2,314,Van Rossum Recycling
2842134,chemicals,Sulfurous Acid - 8.8 M,36.75,170,Hejlsberg Industries
2842135,chemicals,Potassium Chloride - 3.0 M,3.51,178,Gosling Goods
2842136,chemicals,Potassium Chloride - 13.8 M,0.75,24,K+R Industries
2842137,chemicals,Potassium Chloride - 1.5 M,24.47,80,Stroustrup Manufacturing
2840006,electronics,1K Resistor,10.89,320,Newman Niceties
2842138,chemicals,Potassium Chloride - 1.9 M,25.27,52,K+R Industries
2842139,chemicals,Sulfurous Acid - 1.5 M,8.47,163,K+R Industries
2840007,electronics,5-gate NOR Gate,15.26,22,K+R Industries
2842140,chemicals,Hydrochloric Acid - 6.3 M,16.64,12,Stroustrup Manufacturing
2842141,chemicals,Sodium Hydroxide - 14.6 M,12.23,52,Gosling Goods
2842142,chemicals,Sulfuric Acid - 3.5 M,34.76,107,Hejlsberg Industries
2842143,chemicals,Sulfuric Acid - 10.5 M,6.16,302,Stroustrup Manufacturing
2842144,chemicals,Hydrochloric Acid - 2.6 M,5.89,391,Hejlsberg Industries
2842145,chemicals,Sodium Hydroxide - 1.4 M,11.28,288,K+R Industries
2842146,chemicals,Acetic Acid - 4.1 M,2.09,214,Hejlsberg Industries
2842147,chemicals,Hydrochloric Acid - 13.8 M,10.02,165,K+R Industries
2842148,chemicals,Potassium Chloride - 1.1 M,30.98,207,Hejlsberg Industries
2844001,tools,Hammer,21.41,299,Van Rossum Recycling
2842149,chemicals,Acetic Acid - 4.7 M,4.46,369,Hejlsberg Industries
2842150,chemicals,Hydrochloric Acid - 13.0 M,33.45,115,Stroustrup Manufacturing
2842151,chemicals,Sulfurous Acid - 14.1 M,26.78,238,Stroustrup Manufacturing
2842152,chemicals,Hydrochloric Acid - 3.8 M,32.65,149,Hejlsberg Industries
2842153,chemicals,Sodium Hydroxide - 7.6 M,15.35,136,Stroustrup Manufacturing
2842154,chemicals,Sodium Hydroxide - 9.9 M,36.31,132,Gosling Goods
2842155,chemicals,Hydrochloric Acid - 1.5 M,15.79,193,Van Rossum Recycling
2842156,chemicals,Acetic Acid - 10.9 M,25.06,309,Van Rossum Recycling
2842157,chemicals,Hydrochloric Acid - 8.8 M,18.82,144,Gosling Goods
2842158,chemicals,Potassium Chloride - 0.2 M,2.89,84,Newman Niceties
2842159,chemicals,Sodium Hydroxide - 9.5 M,16.59,327,K+R Industries
2842160,chemicals,Sulfurous Acid - 0.2 M,4.63,345,K+R Industries
2842161,chemicals,Acetic Acid - 12.8 M,11.01,190,Newman Niceties
2842162,chemicals,Sulfuric Acid - 6.3 M,22.04,395,Van Rossum Recycling
2842163,chemicals,Sulfurous Acid - 13.0 M,23.52,384,Van Rossum Recycling
2842164,chemicals,Acetic Acid - 6.4 M,17.69,127,Stroustrup Manufacturing
2842165,chemicals,Potassium Chloride - 3.5 M,18.3,201,Van Rossum Recycling
2842166,chemicals,Potassium Chloride - 10.8 M,17.68,195,Gosling Goods
2842167,chemicals,Potassium Chloride - 4.6 M,32.58,341,K+R Industries
2842168,chemicals,Potassium Chloride - 7.3 M,9.46,99,Stroustrup Manufacturing
2842169,chemicals,Sulfurous Acid - 7.8 M,24.41,184,Gosling Goods
2842170,chemicals,Sulfurous Acid - 9.9 M,25.67,143,Hejlsberg Industries
2842171,chemicals,Sodium Hydroxide - 1.4 M,25.19,277,Stroustrup Manufacturing
2842172,chemicals,Potassium Chloride - 14.7 M,31.19,295,Gosling Goods
2842173,chemicals,Hydrochloric Acid - 8.4 M,27.77,353,Newman Niceties
2842174,chemicals,Acetic Acid - 13.9 M,31.76,43,K+R Industries
2842175,chemicals,Sulfurous Acid - 7.7 M,18.16,333,Van Rossum Recycling
2842176,chemicals,Potassium Chloride - 1.9 M,39.19,345,Stroustrup Manufacturing
2842177,chemicals,Potassium Chloride - 1.5 M,7.26,19,K+R Industries
2842178,chemicals,Potassium Chloride - 0.1 M,12.61,371,K+R Industries
2842179,chemicals,Potassium Chloride - 5.7 M,38.63,285,Van Rossum Recycling
2842180,chemicals,Potassium Chloride - 2.8 M,20.25,169,Newman Niceties
2842181,chemicals,Sulfurous Acid - 9.6 M,8.69,269,Gosling Goods
2842182,chemicals,Sodium Hydroxide - 8.0 M,11.11,223,Hejlsberg Industries
2842183,chemicals,Sodium Hydroxide - 1.5 M,27.63,292,K+R Industries
2840008,electronics,PMOS Transistor,7.11,227,Stroustrup Manufacturing
2842184,chemicals,Hydrochloric Acid - 14.3 M,32.77,151,Hejlsberg Industries
2842185,chemicals,Potassium Chloride - 2.1 M,21.29,169,Hejlsberg Industries
2842186,chemicals,Sulfurous Acid - 10.0 M,14.69,308,Newman Niceties
2842187,chemicals,Potassium Chloride - 12.2 M,21.21,59,Newman Niceties
2842188,chemicals,Sodium Hydroxide - 7.8 M,7.74,73,Newman Niceties
2842189,chemicals,Sulfuric Acid - 14.8 M,14.4,318,Gosling Goods
2842190,chemicals,Hydrochloric Acid - 3.7 M,9.88,259,Newman Niceties
2842191,chemicals,Sulfuric Acid - 14.2 M,3.99,163,Gosling Goods
2842192,chemicals,Sodium Hydroxide - 10.3 M,35.23,239,K+R Industries
2842193,chemicals,Sulfuric Acid - 1.2 M,1.08,71,Stroustrup Manufacturing
2842194,chemicals,Hydrochloric Acid - 1.6 M,37.16,212,Van Rossum Recycling
2842195,chemicals,Acetic Acid - 9.4 M,19.59,202,K+R Industries
2842196,chemicals,Hydrochloric Acid - 1.8 M,13.45,61,K+R Industries
2842197,chemicals,Hydrochloric Acid - 8.5 M,13.57,281,Stroustrup Manufacturing
2842198,chemicals,Acetic Acid - 13.2 M,28.09,42,K+R Industries
2842199,chemicals,Sodium Hydroxide - 3.3 M,37.21,258,K+R Industries
2842200,chemicals,Sodium Hydroxide - 3.5 M,31.58,46,Van Rossum Recycling
2842201,chemicals,Sulfurous Acid - 6.6 M,24.59,203,Van Rossum Recycling
2842202,chemicals,Acetic Acid - 4.4 M,32.16,320,Van Rossum Recycling
2842203,chemicals,Potassium Chloride - 7.5 M,31.65,68,Hejlsberg Industries
2842204,chemicals,Sulfurous Acid - 8.5 M,36.0,134,Newman Niceties
2840009,electronics,6-gate XOR Gate,33.5,93,Hejlsberg Industries
2842205,chemicals,Sulfuric Acid - 5.1 M,0.19,69,Van Rossum Recycling
2842206,chemicals,Sodium Hydroxide - 1.7 M,2.65,56,Newman Niceties
2842207,chemicals,Sulfurous Acid - 7.2 M,3.12,299,Van Rossum Recycling
2842208,chemicals,Hydrochloric Acid - 9.2 M,16.57,58,Stroustrup Manufacturing
2844002,tools,Screwdriver - Phillips,9.18,84,K+R Industries
2842209,chemicals,Hydrochloric Acid - 7.9 M,26.25,290,Gosling Goods
2842210,chemicals,Potassium Chloride - 12.5 M,15.23,112,Stroustrup Manufacturing
2842211,chemicals,Sodium Hydroxide - 10.0 M,13.96,58,Stroustrup Manufacturing
2842212,chemicals,Sodium Hydroxide - 12.0 M,2.51,282,Gosling Goods
2842213,chemicals,Hydrochloric Acid - 9.6 M,25.81,116,Van Rossum Recycling
2842214,chemicals,Sulfurous Acid - 9.5 M,27.36,206,Hejlsberg Industries
2842215,chemicals,Hydrochloric Acid - 10.9 M,14.58,278,Van Rossum Recycling
2842216,chemicals,Potassium Chloride - 12.0 M,18.04,133,Hejlsberg Industries
2842217,chemicals,Potassium Chloride - 10.3 M,39.97,234,Newman Niceties
2842218,chemicals,Acetic Acid - 8.6 M,19.49,191,Stroustrup Manufacturing
2842219,chemicals,Sodium Hydroxide - 5.0 M,5.32,250,Gosling Goods
2842220,chemicals,Potassium Chloride - 3.1 M,30.71,274,Van Rossum Recycling
2842221,chemicals,Potassium Chloride - 13.5 M,25.96,278,Van Rossum Recycling
2842222,chemicals,Hydrochloric Acid - 6.0 M,36.76,80,Gosling Goods
2842223,chemicals,Hydrochloric Acid - 8.7 M,12.79,363,Gosling Goods
2842224,chemicals,Sulfuric Acid - 9.0 M,15.29,363,K+R Industries
2842225,chemicals,Hydrochloric Acid - 9.7 M,27.58,231,Van Rossum Recycling
2842226,chemicals,Sulfuric Acid - 7.6 M,29.02,175,Newman Niceties
2842227,chemicals,Hydrochloric Acid - 2.6 M,22.53,340,Newman Niceties
2842228,chemicals,Sulfuric Acid - 0.3 M,0.34,273,Newman Niceties
2842229,chemicals,Sodium Hydroxide - 10.6 M,38.42,317,K+R Industries
2842230,chemicals,Sulfurous Acid - 0.5 M,1.69,77,K+R Industries
2842231,chemicals,Acetic Acid - 3.5 M,18.94,237,K+R Industries
2842232,chemicals,Acetic Acid - 6.2 M,30.3,249,K+R Industries
2842233,chemicals,Sulfurous Acid - 1.7 M,25.56,135,Newman Niceties
2842234,chemicals,Acetic Acid - 4.4 M,26.69,35,Stroustrup Manufacturing
2842235,chemicals,Sulfurous Acid - 10.3 M,12.56,350,Gosling Goods
2842236,chemicals,Hydrochloric Acid - 1.6 M,37.42,108,Stroustrup Manufacturing
2840010,electronics,7-gate NOT Gate,23.89,22,Hejlsberg Industries
2842237,chemicals,Potassium Chloride - 4.2 M,35.38,250,Van Rossum Recycling
2840011,electronics,CMOS Transistor,3.31,314,Hejlsberg Industries
2842238,chemicals,Sulfurous Acid - 13.1 M,23.28,21,K+R Industries
2842239,chemicals,Acetic Acid - 5.9 M,7.53,95,K+R Industries
2842240,chemicals,Hydrochloric Acid - 7.8 M,28.08,332,Stroustrup Manufacturing
2842241,chemicals,Sodium Hydroxide - 2.0 M,6.98,155,Stroustrup Manufacturing
2842242,chemicals,Acetic Acid - 8.4 M,34.14,159,Van Rossum Recycling
2842243,chemicals,Acetic Acid - 11.7 M,16.36,78,Gosling Goods
2842244,chemicals,Acetic Acid - 14.5 M,11.08,270,Hejlsberg Industries
2842245,chemicals,Potassium Chloride - 9.5 M,39.41,398,Newman Niceties
2842246,chemicals,Potassium Chloride - 1.2 M,19.67,206,K+R Industries
2842247,chemicals,Sodium Hydroxide - 12.2 M,8.98,117,Van Rossum Recycling
2842248,chemicals,Potassium Chloride - 3.8 M,29.15,314,Gosling Goods
2842249,chemicals,Sulfuric Acid - 5.4 M,27.05,54,Stroustrup Manufacturing
2842250,chemicals,Sodium Hydroxide - 13.3 M,38.69,258,Hejlsberg Industries
2842251,chemicals,Potassium Chloride - 9.0 M,34.8,64,Van Rossum Recycling
2842252,chemicals,Sulfuric Acid - 0.7 M,5.04,7,K+R Industries
2842253,chemicals,Acetic Acid - 7.4 M,28.3,380,K+R Industries
2842254,chemicals,Hydrochloric Acid - 12.4 M,32.06,259,Newman Niceties
2842255,chemicals,Sulfuric Acid - 4.7 M,22.12,314,Stroustrup Manufacturing
2842256,chemicals,Potassium Chloride - 7.6 M,5.04,141,Gosling Goods
2842257,chemicals,Potassium Chloride - 7.3 M,5.43,25,Van Rossum Recycling
2842258,chemicals,Sulfurous Acid - 0.2 M,1.53,148,Van Rossum Recycling
2842259,chemicals,Hydrochloric Acid - 10.1 M,12.76,256,Van Rossum Recycling
2842260,chemicals,Sulfuric Acid - 13.9 M,28.37,311,K+R Industries
2842261,chemicals,Sulfurous Acid - 12.1 M,2.24,171,Newman Niceties
2842262,chemicals,Sodium Hydroxide - 14.3 M,8.02,315,Newman Niceties
2842263,chemicals,Sodium Hydroxide - 4.3 M,35.44,349,Hejlsberg Industries
2842264,chemicals,Hydrochloric Acid - 13.7 M,37.18,316,Newman Niceties
2842265,chemicals,Acetic Acid - 8.2 M,22.55,346,Gosling Goods
2842266,chemicals,Sulfuric Acid - 2.0 M,26.14,354,Gosling Goods
2842267,chemicals,Hydrochloric Acid - 0.2 M,18.61,182,Gosling Goods
2842268,chemicals,Sodium Hydroxide - 7.2 M,33.57,290,Van Rossum Recycling
2842269,chemicals,Sulfuric Acid - 0.6 M,1.82,229,Gosling Goods
2840012,electronics,3-gate NOR Gate,19.66,368,Gosling Goods
2842270,chemicals,Sodium Hydroxide - 10.4 M,11.66,265,Newman Niceties
2842271,chemicals,Acetic Acid - 9.6 M,29.79,5,Gosling Goods
2842272,chemicals,Sulfuric Acid - 8.3 M,17.21,83,Gosling Goods
2842273,chemicals,Sulfuric Acid - 14.2 M,3.35,222,Van Rossum Recycling
2842274,chemicals,Sulfuric Acid - 1.4 M,22.09,160,Hejlsberg Industries
2842275,chemicals,Hydrochloric Acid - 12.0 M,32.28,381,K+R Industries
2842276,chemicals,Sulfuric Acid - 13.0 M,13.01,96,Newman Niceties
2842277,chemicals,Sulfurous Acid - 11.0 M,11.62,251,Newman Niceties
2842278,chemicals,Acetic Acid - 2.8 M,5.56,190,Van Rossum Recycling
2842279,chemicals,Hydrochloric Acid - 9.0 M,39.99,323,Van Rossum Recycling
2842280,chemicals,Hydrochloric Acid - 6.3 M,29.46,192,Van Rossum Recycling
2842281,chemicals,Sodium Hydroxide - 3.5 M,8.56,20,K+R Industries
2842282,chemicals,Sodium Hydroxide - 12.7 M,34.5,213,Van Rossum Recycling
2840013,electronics,8-gate OR Gate,11.32,156,K+R Industries
2842283,chemicals,Sulfuric Acid - 13.2 M,3.82,143,Van Rossum Recycling
2842284,chemicals,Hydrochloric Acid - 1.2 M,20.37,386,Stroustrup Manufacturing
2842285,chemicals,Acetic Acid - 9.4 M,6.35,195,Van Rossum Recycling
2842286,chemicals,Hydrochloric Acid - 1.8 M,34.64,392,Van Rossum Recycling
2842287,chemicals,Acetic Acid - 2.0 M,17.71,215,Gosling Goods
2842288,chemicals,Potassium Chloride - 3.0 M,6.52,373,Newman Niceties
2842289,chemicals,Sodium Hydroxide - 2.5 M,35.61,282,Gosling Goods
2842290,chemicals,Sodium Hydroxide - 6.5 M,20.28,4,Gosling Goods
2840014,electronics,7-gate NAND Gate,8.55,333,Gosling Goods
2842291,chemicals,Acetic Acid - 9.1 M,13.73,283,Gosling Goods
2842292,chemicals,Hydrochloric Acid - 4.1 M,33.9,365,Newman Niceties
2842293,chemicals,Hydrochloric Acid - 7.3 M,33.4,119,Van Rossum Recycling
2842294,chemicals,Hydrochloric Acid - 12.3 M,15.19,268,Stroustrup Manufacturing
2842295,chemicals,Sodium Hydroxide - 5.9 M,32.18,265,Van Rossum Recycling
2842296,chemicals,Hydrochloric Acid - 0.9 M,8.39,299,Stroustrup Manufacturing
2842297,chemicals,Sulfuric Acid - 4.4 M,0.33,203,Gosling Goods
2842298,chemicals,Hydrochloric Acid - 11.8 M,6.67,269,Stroustrup Manufacturing
2842299,chemicals,Acetic Acid - 2.6 M,0.8,163,K+R Industries
2842300,chemicals,Acetic Acid - 10.7 M,6.6,130,Gosling Goods
2842301,chemicals,Sulfuric Acid - 5.8 M,24.91,374,Van Rossum Recycling
2842302,chemicals,Potassium Chloride - 2.2 M,20.14,168,Newman Niceties
2842303,chemicals,Sulfurous Acid - 1.6 M,22.6,50,Newman Niceties
2842304,chemicals,Potassium Chloride - 6.5 M,18.0,241,Newman Niceties
2840015,electronics,8-gate OR Gate,20.51,77,Stroustrup Manufacturing
2842305,chemicals,Sodium Hydroxide - 5.7 M,22.44,42,Van Rossum Recycling
2842306,chemicals,Sodium Hydroxide - 7.7 M,7.1,357,Newman Niceties
2842307,chemicals,Potassium Chloride - 6.7 M,12.81,39,Stroustrup Manufacturing
2842308,chemicals,Sodium Hydroxide - 10.1 M,30.5,117,Van Rossum Recycling
2842309,chemicals,Sodium Hydroxide - 14.8 M,19.25,19,Stroustrup Manufacturing
2842310,chemicals,Potassium Chloride - 7.8 M,32.94,324,Stroustrup Manufacturing
2842311,chemicals,Acetic Acid - 14.6 M,3.55,258,K+R Industries
2842312,chemicals,Acetic Acid - 10.0 M,24.24,87,Stroustrup Manufacturing
2842313,chemicals,Sulfuric Acid - 13.3 M,38.6,105,Hejlsberg Industries
2842314,chemicals,Sulfuric Acid - 11.0 M,37.56,53,Newman Niceties
2842315,chemicals,Sulfuric Acid - 9.4 M,0.84,144,Hejlsberg Industries
2842316,chemicals,Sulfuric Acid - 12.5 M,33.59,87,Stroustrup Manufacturing
2842317,chemicals,Sulfurous Acid - 14.8 M,9.76,49,Stroustrup Manufacturing
2842318,chemicals,Acetic Acid - 4.5 M,14.07,137,Stroustrup Manufacturing
2842319,chemicals,Hydrochloric Acid - 9.2 M,3.6,82,Gosling Goods
